batch,instance,budget,completion_rows,method,result,seed,seconds,objective,source
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r0.json,0,46.22111529999893,67.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r1.json,0,0.2977319000001444,76.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r1.json,0,0.3102364000005764,73.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r1.json,0,2.858957800001008,70.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r1.json,0,8.267906200000652,68.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,exact,2019-03-05_N12_C3_exact_r1.json,0,21.793394700000135,67.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,greedy_10,2019-03-05_N12_C3_greedy_10_s1.json,1,0.17073170000003302,67.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,greedy_4,2019-03-05_N12_C3_greedy_4_s1.json,1,0.30333819999941625,73.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,greedy_4,2019-03-05_N12_C3_greedy_4_s1.json,1,0.5339201999995566,68.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,greedy_4,2019-03-05_N12_C3_greedy_4_s1.json,1,8.261880099998962,67.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_200_10,2019-03-05_N12_C3_qaia_200_10_s1.json,1,0.2878588999992644,67.0,rmp_integer
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s1.json,1,0.3425311999999394,74.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s1.json,1,0.3545709000009083,70.0,restricted_mip
model_v3_vehicle,2019-03-05_N12_C3,60.0,vehicle,qaia_50_4,2019-03-05_N12_C3_qaia_50_4_s1.json,1,10.217172000000573,69.0,rmp_integer
